Hour,QeffEnergy_kVarh,DeltaEaccom_kWh
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0.128239977557938,19.4595545982494
9,2.31962182447723,145.991919095641
10,1.75044099107627,145.510258896989
11,1.70945639011051,184.655833313805
12,1.55953194565282,204.379980992522
13,2.17767792326118,269.13053847272
14,3.75066281389308,301.918402013095
15,6.11482770783805,373.980612437534
16,6.90467541395304,380.792849218891
17,4.80453949894171,324.304075245988
18,4.68000041729163,276.812321095213
19,3.3870474017561,237.762170593464
20,4.64028811037977,240.678142474536
21,2.92240843633442,149.497231638382
22,0.423320708454332,14.2110689472933
23,0,0
24,0,0
