Strategy,PriceScale,GCCScale,MuScale,EMOProfit_CNY,DeviationGain_CNY,UserProfit_CNY,REOProfit_CNY,ESOProfit_CNY,RenewablePenetration_pct,AverageACLoss_kW,AverageVoltageDeviation_pu,MinVoltage_pu,MaxVoltage_pu,Feasible,LeaderFeasible,NetworkFeasible,RejectReason,ViolatesPriceLB,ViolatesPriceUB,ViolatesGCCLB,ViolatesGCCUB,ViolatesMuLB,ViolatesMuUB,ViolatesVoltage,SolverFailed,NoEffectiveChange
Baseline Case 8,1.1,0.5,0,4046.24628318662,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
TOU price -5%,1.045,0.5,0,3032.17521957141,-1014.07106361521,7743.97069537038,5740.24984419124,640.265526315789,52.6290180509337,11.7509951452013,0.00835109979840947,0.96654879449819,1.00895510587783,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
TOU price -3%,1.067,0.5,0,3448.59935282815,-597.646930358467,7348.31741632593,5740.24984419124,654.217,52.9299832878758,11.661236904181,0.00828350417354246,0.96654879449819,1.00934121319035,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
TOU price -1%,1.089,0.5,0,3848.06144591925,-198.18483726737,6955.06890105,5740.24984419124,668.16847368421,53.0365662324044,11.6275204287379,0.00826075482981109,0.96654879449819,1.00954867239966,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
TOU price +1%,1.111,0.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,PriceScale 1.111000000 > UB 1.100000000,0,1,0,0,0,0,0,0,0
TOU price +3%,1.133,0.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,PriceScale 1.133000000 > UB 1.100000000,0,1,0,0,0,0,0,0,0
TOU price +5%,1.155,0.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,PriceScale 1.155000000 > UB 1.100000000,0,1,0,0,0,0,0,0,0
GCC reward -5%,1.1,0.475,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,GCCScale 0.475000000 < LB 0.500000000,0,0,1,0,0,0,0,0,0
GCC reward -3%,1.1,0.485,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,GCCScale 0.485000000 < LB 0.500000000,0,0,1,0,0,0,0,0,0
GCC reward -1%,1.1,0.495,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,GCCScale 0.495000000 < LB 0.500000000,0,0,1,0,0,0,0,0,0
GCC reward +1%,1.1,0.505,0,4045.06626718662,-1.18001600000025,6759.91167639815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
GCC reward +3%,1.1,0.515,0,4042.70623518662,-3.54004800000075,6762.27170839815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
GCC reward +5%,1.1,0.525,0,4040.34620318661,-5.90008000000125,6764.63174039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
mu -5%,1.1,0.5,0,4046.24628318662,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
mu -3%,1.1,0.5,0,4046.24628318662,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
mu -1%,1.1,0.5,0,4046.24628318662,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
mu +1%,1.1,0.5,0,4046.24628318662,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
mu +3%,1.1,0.5,0,4046.24628318662,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
mu +5%,1.1,0.5,0,4046.24628318662,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
