Strategy,PriceScale,GCCScale,MuScale,LeaderFeasible,NetworkFeasible,Feasible,RejectReason,ViolatesPriceLB,ViolatesPriceUB,ViolatesGCCLB,ViolatesGCCUB,ViolatesMuLB,ViolatesMuUB,ViolatesVoltage,SolverFailed,SolverMessage,NoEffectiveChange,UserResolved,REOResolved,ESOResolved,DSOResolved,MATPOWERResolved
Baseline Case 8,1.1,0.5,0,1,1,1,Accepted,0,0,0,0,0,0,0,0,,0,1,1,1,1,1
TOU price -2.0%,1.078,0.5,0,1,1,1,Accepted,0,0,0,0,0,0,0,0,,0,1,1,1,1,1
TOU price -1.0%,1.089,0.5,0,1,1,1,Accepted,0,0,0,0,0,0,0,0,,0,1,1,1,1,1
TOU price -0.5%,1.0945,0.5,0,1,1,1,Accepted,0,0,0,0,0,0,0,0,,0,1,1,1,1,1
TOU price +0.5%,1.1055,0.5,0,0,0,0,PriceScale 1.105500000 > UB 1.100000000,0,1,0,0,0,0,0,0,,0,0,0,0,0,0
TOU price +1.0%,1.111,0.5,0,0,0,0,PriceScale 1.111000000 > UB 1.100000000,0,1,0,0,0,0,0,0,,0,0,0,0,0,0
TOU price +2.0%,1.122,0.5,0,0,0,0,PriceScale 1.122000000 > UB 1.100000000,0,1,0,0,0,0,0,0,,0,0,0,0,0,0
GCC reward -2.0%,1.1,0.49,0,0,0,0,GCCScale 0.490000000 < LB 0.500000000,0,0,1,0,0,0,0,0,,0,0,0,0,0,0
GCC reward -1.0%,1.1,0.495,0,0,0,0,GCCScale 0.495000000 < LB 0.500000000,0,0,1,0,0,0,0,0,,0,0,0,0,0,0
GCC reward -0.5%,1.1,0.4975,0,0,0,0,GCCScale 0.497500000 < LB 0.500000000,0,0,1,0,0,0,0,0,,0,0,0,0,0,0
GCC reward +0.5%,1.1,0.5025,0,1,1,1,Accepted,0,0,0,0,0,0,0,0,,0,1,1,1,1,1
GCC reward +1.0%,1.1,0.505,0,1,1,1,Accepted,0,0,0,0,0,0,0,0,,0,1,1,1,1,1
GCC reward +2.0%,1.1,0.51,0,1,1,1,Accepted,0,0,0,0,0,0,0,0,,0,1,1,1,1,1
mu -2.0%,1.1,0.5,0,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,,1,1,1,1,1,1
mu -1.0%,1.1,0.5,0,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,,1,1,1,1,1,1
mu -0.5%,1.1,0.5,0,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,,1,1,1,1,1,1
mu +0.5%,1.1,0.5,0,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,,1,1,1,1,1,1
mu +1.0%,1.1,0.5,0,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,,1,1,1,1,1,1
mu +2.0%,1.1,0.5,0,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,,1,1,1,1,1,1
