Strategy,PriceScale,GCCScale,MuScale,EMOProfit_CNY,DeviationGain_CNY,DeviationGain_pct,UserProfit_CNY,REOProfit_CNY,ESOProfit_CNY,RenewablePenetration_pct,AverageACLoss_kW,AverageVoltageDeviation_pu,MinVoltage_pu,MaxVoltage_pu,Feasible,LeaderFeasible,NetworkFeasible,RejectReason,ViolatesPriceLB,ViolatesPriceUB,ViolatesGCCLB,ViolatesGCCUB,ViolatesMuLB,ViolatesMuUB,ViolatesVoltage,SolverFailed,NoEffectiveChange
Baseline Case 8,1.1,0.5,0,4046.24628318662,0,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
TOU price -2.0%,1.078,0.5,0,3648.8711577814,-397.37512540522,-9.82083386907107,7151.5532836,5740.24984419124,661.192736842105,52.9958371754867,11.6425355313947,0.008270382026879,0.96654879449819,1.0095342314188,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
TOU price -1.0%,1.089,0.5,0,3848.06144591925,-198.18483726737,-4.89799244526683,6955.06890105,5740.24984419124,668.16847368421,53.0365662324044,11.6275204287379,0.00826075482981109,0.96654879449819,1.00954867239966,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
TOU price -0.5%,1.0945,0.5,0,3947.1763291768,-99.0699540098176,-2.44844102598212,6856.88907702037,5740.24984419124,671.656342105263,53.0457655649796,11.624685394516,0.00825852006252305,0.96654879449819,1.00954867239966,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
TOU price +0.5%,1.1055,0.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,PriceScale 1.105500000 > UB 1.100000000,0,1,0,0,0,0,0,0,0
TOU price +1.0%,1.111,0.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,PriceScale 1.111000000 > UB 1.100000000,0,1,0,0,0,0,0,0,0
TOU price +2.0%,1.122,0.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,PriceScale 1.122000000 > UB 1.100000000,0,1,0,0,0,0,0,0,0
GCC reward -2.0%,1.1,0.49,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,GCCScale 0.490000000 < LB 0.500000000,0,0,1,0,0,0,0,0,0
GCC reward -1.0%,1.1,0.495,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,GCCScale 0.495000000 < LB 0.500000000,0,0,1,0,0,0,0,0,0
GCC reward -0.5%,1.1,0.4975,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,GCCScale 0.497500000 < LB 0.500000000,0,0,1,0,0,0,0,0,0
GCC reward +0.5%,1.1,0.5025,0,4045.65627518661,-0.590008000001035,-0.0145816136415793,6759.32166839815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
GCC reward +1.0%,1.1,0.505,0,4045.06626718662,-1.18001600000025,-0.0291632272831136,6759.91167639815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
GCC reward +2.0%,1.1,0.51,0,4043.88625118662,-2.3600320000005,-0.0583264545662273,6761.09169239815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted,0,0,0,0,0,0,0,0,0
mu -2.0%,1.1,0.5,0,4046.24628318662,0,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
mu -1.0%,1.1,0.5,0,4046.24628318662,0,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
mu -0.5%,1.1,0.5,0,4046.24628318662,0,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
mu +0.5%,1.1,0.5,0,4046.24628318662,0,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
mu +1.0%,1.1,0.5,0,4046.24628318662,0,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
mu +2.0%,1.1,0.5,0,4046.24628318662,0,0,6758.73166039815,5740.24984419124,675.144210526316,53.0549675040333,11.6218618486889,0.00825628188721396,0.96654879449819,1.00954867239966,1,1,1,Accepted but no effective parameter change (baseline scale is zero),0,0,0,0,0,0,0,0,1
