VariableType,Perturbation_pct,Feasible,RejectReason,EMOProfit_CNY,DeviationGain_CNY,DeviationGain_pct,UserProfit_CNY,RenewablePenetration_pct,AverageACLoss_kW,MinVoltage_pu,MaxVoltage_pu
TOU,-2,1,Accepted,3648.8711577814,-397.37512540522,-9.82083386907105,7151.5532836,52.9958371754867,11.6425355313947,0.96654879449819,1.0095342314188
TOU,-1,1,Accepted,3848.06144591925,-198.18483726737,-4.89799244526681,6955.06890105,53.0365662324044,11.6275204287379,0.96654879449819,1.00954867239966
TOU,-0.5,1,Accepted,3947.1763291768,-99.0699540098199,-2.44844102598217,6856.88907702037,53.0457655649796,11.624685394516,0.96654879449819,1.00954867239966
TOU,0.5,0,PriceScale 1.105500000 > UB 1.100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TOU,1,0,PriceScale 1.111000000 > UB 1.100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TOU,2,0,PriceScale 1.122000000 > UB 1.100000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GCC,-2,0,GCCScale 0.490000000 < LB 0.500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GCC,-1,0,GCCScale 0.495000000 < LB 0.500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GCC,-0.5,0,GCCScale 0.497500000 < LB 0.500000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GCC,0.5,1,Accepted,4045.65627518661,-0.59000800001013,-0.0145816136418041,6759.32166839815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966
GCC,1,1,Accepted,4045.06626718662,-1.18001600000025,-0.0291632272831136,6759.91167639815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966
GCC,2,1,Accepted,4043.88625118662,-2.36003200000005,-0.058326454566216,6761.09169239815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966
mu,-2,1,Accepted but no effective parameter change (baseline scale is zero),4046.24628318662,0,0,6758.73166039815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966
mu,-1,1,Accepted but no effective parameter change (baseline scale is zero),4046.24628318662,0,0,6758.73166039815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966
mu,-0.5,1,Accepted but no effective parameter change (baseline scale is zero),4046.24628318662,0,0,6758.73166039815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966
mu,0.5,1,Accepted but no effective parameter change (baseline scale is zero),4046.24628318662,0,0,6758.73166039815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966
mu,1,1,Accepted but no effective parameter change (baseline scale is zero),4046.24628318662,0,0,6758.73166039815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966
mu,2,1,Accepted but no effective parameter change (baseline scale is zero),4046.24628318662,0,0,6758.73166039815,53.0549675040333,11.6218618486889,0.96654879449819,1.00954867239966
